Features, tech,url
"Provides up to 1000 Mb/s (multi-station) or 500 Mb/s (single-station) in the 5.0 GHz spectrum", 802.11ac,https://www.qualcomm.com
"Uses UL-MIMO and gives HEW", 802.11ax,https://www.qualcomm.com
